2.372,1,0,0
2.373,1,0,0
2.374,1,0,0
2.375,1,0,0
2.376,1,0,0
2.378,1,0,0
2.38,1,0,0
2.39,1,0,0
2.4,1,0,0
2.409145,1.000383,0,-0.0002945508
2.41829,1.000884,0,-0.0006774669
2.427435,1.001384,0,-0.001060383
2.436581,1.002386,0,-0.001443299
2.445726,1.002887,0,-0.001826215
2.454871,1.003387,0,-0.002209131
2.464016,1.003888,-0.0001472754,-0.002209131
2.473161,1.004389,0.0001767305,-0.002592047
2.482306,1.005891,-0.0001472754,-0.002974963
2.491451,1.007393,-0.0004712813,-0.003357879
2.500596,1.009897,-0.001119293,-0.004123711
2.509742,1.013402,-0.002091311,-0.004889543
2.518887,1.018409,-0.00371134,-0.006038292
2.528032,1.022916,-0.00533137,-0.006804124
2.537177,1.029426,-0.007275405,-0.008335788
2.546322,1.036937,-0.009543446,-0.009484536
,,,
2.555467,1.044448,-0.01181149,-0.0110162
2.564612,1.053461,-0.01440354,-0.01254787
2.573757,1.063476,-0.01699558,-0.01446245
2.582903,1.073991,-0.01991164,-0.01637703
2.592048,1.084507,-0.02250368,-0.01790869
2.601193,1.096524,-0.02541974,-0.02020619
2.610338,1.109543,-0.02833579,-0.02212077
2.619483,1.121561,-0.03092784,-0.02403535
2.628628,1.136082,-0.03416789,-0.02633284
2.637773,1.151605,-0.03805597,-0.02901326
2.646918,1.167629,-0.04226804,-0.03169367
2.656064,1.182651,-0.04615611,-0.03399116
2.665209,1.200677,-0.05166421,-0.03705449
2.674354,1.219705,-0.05814433,-0.04011782
2.683499,1.237231,-0.06430044,-0.04318115
2.692644,1.258262,-0.0727246,-0.04701031
2.701789,1.280295,-0.08244477,-0.05122239
2.710934,1.303328,-0.09313697,-0.05543446
2.72008,1.324359,-0.1038292,-0.05964654
2.729225,1.349396,-0.1164654,-0.06462445
2.73837,1.374433,-0.1300736,-0.06998527
2.747515,1.396966,-0.1423859,-0.07496318
2.75666,1.422504,-0.1566421,-0.08108984
2.765805,1.448542,-0.1708984,-0.08759941
2.77495,1.471075,-0.1832106,-0.09372607
2.784095,1.496613,-0.1971429,-0.1010015
2.793241,1.521649,-0.2104271,-0.1090427
2.802386,1.546186,-0.2233873,-0.1174669
